lambda_cvar,E_profit,CVaR95_loss,VaR95_loss,Std_profit,prob_meet_threshold,min_profit,max_profit
0.0,40410.120499301134,-35573.63417587691,-36697.221739194945,2156.9718540160047,0.285,31146.86544835206,46959.04493394248
0.1,40410.120499301134,-35573.63417587691,-36697.221739194945,2156.9718540160047,0.285,31146.86544835206,46959.04493394248
0.3,40404.00461575814,-35552.812183304966,-36703.05819220818,2159.2260508703384,0.2875,30806.710631491587,46951.895474164645
0.5,40404.00461575814,-35552.812183304966,-36703.05819220818,2159.2260508703384,0.2875,30806.710631491587,46951.895474164645
0.8,40393.422243477675,-35523.10073172959,-36664.89251003898,2168.336985321821,0.2775,30909.74097442464,47239.52367745254
1.2,40393.422243477675,-35523.10073172959,-36664.89251003898,2168.336985321821,0.2775,30909.74097442464,47239.52367745254
