N,train_obj,eval_E,eval_CVaR
40,51907.22696580466,40378.071542488135,-35487.66231885766
80,51191.60168350029,40370.0204214999,-35400.092509665104
160,51354.448780129285,40371.89278645468,-35394.84989692117
