hazard_scale,n_planted,E_profit,CVaR95,prob_meet
0.5,30,40742.454219513056,-36602.06299412612,0.626
1.0,30,40413.730212510614,-35330.31600735376,0.277
1.5,30,39679.18104776747,-33600.0002126842,0.088
2.0,30,38836.28221745632,-32616.412685230596,0.016
